cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
90,complete,probe/cycle_000090.csv,treatment/cycle_000090.csv,2026-07-12T14:18:09.519,2026-07-12T14:18:09.961,4.5,7,612000,6000,200,1000,
91,complete,probe/cycle_000091.csv,treatment/cycle_000091.csv,2026-07-12T14:18:10.531,2026-07-12T14:18:10.973,4.5,7,612000,6000,200,1000,
92,complete,probe/cycle_000092.csv,treatment/cycle_000092.csv,2026-07-12T14:18:11.544,2026-07-12T14:18:11.986,4.5,7,612000,6000,200,1000,
93,complete,probe/cycle_000093.csv,treatment/cycle_000093.csv,2026-07-12T14:18:12.556,2026-07-12T14:18:12.999,4.5,7,612000,6000,200,1000,
94,complete,probe/cycle_000094.csv,treatment/cycle_000094.csv,2026-07-12T14:18:13.571,2026-07-12T14:18:14.013,4.5,7,612000,6000,200,1000,
95,complete,probe/cycle_000095.csv,treatment/cycle_000095.csv,2026-07-12T14:18:14.581,2026-07-12T14:18:15.023,4.5,7,612000,6000,200,1000,
96,complete,probe/cycle_000096.csv,treatment/cycle_000096.csv,2026-07-12T14:18:15.595,2026-07-12T14:18:16.037,4.5,7,612000,6000,200,1000,
97,complete,probe/cycle_000097.csv,treatment/cycle_000097.csv,2026-07-12T14:18:16.605,2026-07-12T14:18:17.045,4.5,7,612000,6000,200,1000,
98,complete,probe/cycle_000098.csv,treatment/cycle_000098.csv,2026-07-12T14:18:17.617,2026-07-12T14:18:18.059,4.5,7,612000,6000,200,1000,
99,complete,probe/cycle_000099.csv,treatment/cycle_000099.csv,2026-07-12T14:18:18.631,2026-07-12T14:18:19.074,4.5,7,612000,6000,200,1000,
100,complete,probe/cycle_000100.csv,treatment/cycle_000100.csv,2026-07-12T14:18:19.644,2026-07-12T14:18:20.089,4.5,7,612000,6000,200,1000,
101,complete,probe/cycle_000101.csv,treatment/cycle_000101.csv,2026-07-12T14:18:20.659,2026-07-12T14:18:21.102,4.5,7,612000,6000,200,1000,
102,complete,probe/cycle_000102.csv,treatment/cycle_000102.csv,2026-07-12T14:18:21.673,2026-07-12T14:18:22.112,4.5,7,612000,6000,200,1000,
103,complete,probe/cycle_000103.csv,treatment/cycle_000103.csv,2026-07-12T14:18:22.685,2026-07-12T14:18:23.126,4.5,7,612000,6000,200,1000,
104,complete,probe/cycle_000104.csv,treatment/cycle_000104.csv,2026-07-12T14:18:23.699,2026-07-12T14:18:24.125,4.5,7,612000,6000,200,1000,
105,complete,probe/cycle_000105.csv,treatment/cycle_000105.csv,2026-07-12T14:18:24.759,2026-07-12T14:18:25.202,4.5,7,612000,6000,200,1000,
106,complete,probe/cycle_000106.csv,treatment/cycle_000106.csv,2026-07-12T14:18:25.775,2026-07-12T14:18:26.217,4.5,7,612000,6000,200,1000,
107,complete,probe/cycle_000107.csv,treatment/cycle_000107.csv,2026-07-12T14:18:26.788,2026-07-12T14:18:27.229,4.5,7,612000,6000,200,1000,
108,complete,probe/cycle_000108.csv,treatment/cycle_000108.csv,2026-07-12T14:18:27.802,2026-07-12T14:18:28.249,4.5,7,612000,6000,200,1000,
109,complete,probe/cycle_000109.csv,treatment/cycle_000109.csv,2026-07-12T14:18:28.815,2026-07-12T14:18:29.258,4.5,7,612000,6000,200,1000,
110,complete,probe/cycle_000110.csv,treatment/cycle_000110.csv,2026-07-12T14:18:29.824,2026-07-12T14:18:30.267,4.5,7,612000,6000,200,1000,
111,complete,probe/cycle_000111.csv,treatment/cycle_000111.csv,2026-07-12T14:18:30.836,2026-07-12T14:18:31.280,4.5,7,612000,6000,200,1000,
112,complete,probe/cycle_000112.csv,treatment/cycle_000112.csv,2026-07-12T14:18:31.850,2026-07-12T14:18:32.294,4.5,7,612000,6000,200,1000,
113,complete,probe/cycle_000113.csv,treatment/cycle_000113.csv,2026-07-12T14:18:32.849,2026-07-12T14:18:33.292,4.5,7,612000,6000,200,1000,
