group,file,std_mv,ptp_mv,icd_fixed_608k,peak_128_hz,peak_128_amp_mv,peak_608_hz,peak_608_amp_mv,band_1_20k,band_45_65k,band_120_136k,band_1_30_1_43m,band_1_0_3_3m
10 补测一组功放打开的，用做备用,capture_20260703_150157_629.csv,0.3507734942790118,2.9296870000000004,3.3672952071028425e-05,128000.0,0.10596582016385879,616000.0,0.011342888824166841,1.7316876461752935e-05,1.6527560836702335e-05,0.002058005148718277,1.3318581811537928e-05,1.1480972794884448e-05
10 补测一组功放打开的，用做备用,capture_20260703_150157_837.csv,0.3498882145804542,2.9296870000000004,3.217017959199195e-05,128000.0,0.10088888180656608,594000.0,0.01312727290306967,3.7100719576532956e-05,2.0936757148971206e-05,0.00191994797787673,1.24323790109052e-05,1.0752279363281287e-05
10 补测一组功放打开的，用做备用,capture_20260703_150158_045.csv,0.3473834130911718,2.929687,3.4009221650984024e-05,128000.0,0.10530867412859904,616000.0,0.01086029327846693,3.298007391253256e-05,1.1048492957141026e-05,0.001888969513021604,1.0628236787415488e-05,1.1191631022619252e-05
10 补测一组功放打开的，用做备用,capture_20260703_150158_240.csv,0.3445231245520952,2.9296870000000004,3.376967628333118e-05,128000.0,0.09894224886449848,616000.0,0.013366900428252513,3.319014191082337e-05,1.6468862517320304e-05,0.0018142737822624336,1.2318284967487771e-05,1.1106613480691037e-05
10 补测一组功放打开的，用做备用,capture_20260703_150158_438.csv,0.3461363934385593,2.441406,3.612644009621699e-05,128000.0,0.09675212080974065,616000.0,0.011712969012513726,2.2932397523468746e-05,1.4289826082376625e-05,0.0018483509602196687,1.1763377389599244e-05,1.2407056577461649e-05
10 补测一组功放打开的，用做备用,capture_20260703_150158_634.csv,0.34476321401432475,2.9296870000000004,3.4259758158459216e-05,128000.0,0.10041648725681947,616000.0,0.01583868933338301,3.9022154377895274e-05,1.391348955411844e-05,0.0018544478292404033,1.0600303813738109e-05,1.1117551517464258e-05
10 补测一组功放打开的，用做备用,capture_20260703_150158_844.csv,0.3507558768483711,2.9296870000000004,3.183379842939826e-05,128000.0,0.1063393890077751,616000.0,0.012237356742312093,3.1216708746410906e-05,1.1705509877187577e-05,0.002053951460560884,8.278481242449715e-06,1.0982104196494109e-05
10 补测一组功放打开的，用做备用,capture_20260703_150159_040.csv,0.34943457603809536,3.417968,3.4368161117896104e-05,128000.0,0.10739383392100728,616000.0,0.012802197347470658,1.8189638052816706e-05,2.0510630374271593e-05,0.0020875152929595276,1.0737028842488779e-05,1.1781719771989775e-05
10 补测一组功放打开的，用做备用,capture_20260703_150159_230.csv,0.3508060573333056,2.9296870000000004,3.2891405904093195e-05,128000.0,0.10070739515679206,574000.0,0.010265088096006538,3.053297170088157e-05,2.3008053972657578e-05,0.0018648163485570288,1.1280653667958973e-05,1.1460079258010376e-05
10 补测一组功放打开的，用做备用,capture_20260703_150159_437.csv,0.353692494092437,3.417968,3.3340353705169763e-05,128000.0,0.10847374208223386,636000.0,0.012374130884750971,3.494737410488396e-05,1.573714859323966e-05,0.0021506690702948437,1.106185285042566e-05,1.1125479896364508e-05
